26-06-03 17:24:43.894 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final 
26-06-03 17:24:45.114 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.sentiment_analysis.reaction.repository.ReactionRepo; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
26-06-03 17:24:45.115 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.sentiment_analysis.user.repository.UserRepo; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
26-06-03 17:24:45.115 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces. 
26-06-03 17:24:45.832 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
26-06-03 17:24:45.840 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
26-06-03 17:24:45.843 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
26-06-03 17:24:45.844 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83] 
26-06-03 17:24:45.948 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
26-06-03 17:24:45.948 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1962 ms 
26-06-03 17:24:46.181 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-srv-cluster0.2ylh5ka.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 to client view of cluster 
26-06-03 17:24:46.224 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.19+10", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='aakash', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@25ffd826]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.2ylh5ka.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-4rx8wp-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-06-03 17:24:46.234 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-srv-cluster0.2ylh5ka.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017 to client view of cluster 
26-06-03 17:24:46.235 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-srv-cluster0.2ylh5ka.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017 to client view of cluster 
26-06-03 17:24:46.723 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@46a123e4 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-06-03 17:24:46.838 [cluster-rtt-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:611826}] to ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.838 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:698299}] to ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.838 [cluster-rtt-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:698299}] to ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.838 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:603619}] to ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.838 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:611826}] to ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.838 [cluster-rtt-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:603619}] to ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.840 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=362154500, setName='atlas-4rx8wp-shard-0', canonicalAddress=ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017, hosts=[ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017, ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017, ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017], passives=[], arbiters=[], primary='ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=274, topologyVersion=TopologyVersion{processId=6a11d3304601b900ed2d4670, counter=4}, lastWriteDate=Wed Jun 03 17:24:46 NPT 2026, lastUpdateTimeNanos=3223861161800} 
26-06-03 17:24:46.840 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=363195700, setName='atlas-4rx8wp-shard-0', canonicalAddress=ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017, hosts=[ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017, ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017, ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017], passives=[], arbiters=[], primary='ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=274, topologyVersion=TopologyVersion{processId=6a11d8a53bcdc3e432748e98, counter=3}, lastWriteDate=Wed Jun 03 17:24:46 NPT 2026, lastUpdateTimeNanos=3223861386300} 
26-06-03 17:24:46.840 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=360674900, setName='atlas-4rx8wp-shard-0', canonicalAddress=ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017, hosts=[ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017, ac-uszb0mt-shard-00-00.2ylh5ka.mongodb.net:27017, ac-uszb0mt-shard-00-01.2ylh5ka.mongodb.net:27017], passives=[], arbiters=[], primary='ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000162, setVersion=274, topologyVersion=TopologyVersion{processId=6a11d5f224edd81855cab2a0, counter=6}, lastWriteDate=Wed Jun 03 17:24:46 NPT 2026, lastUpdateTimeNanos=3223861261500} 
26-06-03 17:24:46.851 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000162 from replica set primary ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.851 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 274 from replica set primary ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:46.851 [cluster-ClusterId{value='6a2012829a57fa40409f35f5', description='null'}-ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:47.205 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:698375}] to ac-uszb0mt-shard-00-02.2ylh5ka.mongodb.net:27017 
26-06-03 17:24:48.768 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5996d6f2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@43423d40, org.springframework.security.web.context.SecurityContextPersistenceFilter@7878bbdb, org.springframework.security.web.header.HeaderWriterFilter@3b33fff9, org.springframework.security.web.authentication.logout.LogoutFilter@571d0925, com.example.demo.sentiment_analysis.jwt.JwtFilter@597d48ca, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@563263a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e1ba142, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5f3f57ff, org.springframework.security.web.session.SessionManagementFilter@5d800a56, org.springframework.security.web.access.ExceptionTranslationFilter@7bce9ce4, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5fa5c8cf] 
26-06-03 17:24:49.245 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
26-06-03 17:24:49.276 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
26-06-03 17:24:49.277 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting... 
26-06-03 17:24:49.277 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@32e65852]] 
26-06-03 17:24:49.278 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started. 
26-06-03 17:24:49.286 [main] INFO  c.e.d.s.DemoApplication - Started DemoApplication in 5.765 seconds (JVM running for 6.276) 
26-06-03 17:24:56.826 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
26-06-03 17:24:56.828 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
26-06-03 17:24:56.831 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms 
26-06-03 17:24:57.028 [http-nio-8080-exec-1] INFO  c.e.d.s.checker.HealthChecker - Hello i am in Health_Checker 
